saved_at,id,created_at,text,name,screen_name,profile_image_url,retweet_count,favorite_count
2018-11-02_11:43:11,1057753049635074048,Wed Oct 31 21:55:53 +0000 2018,ワインツーリズムやまなしの申込みをしたが、なぜか会員情報がなくなっているようでログインもパスワード検索もできなかった。そういえばいつの頃からかDMが届かなくなり、今回の申し込み開始もそろそろかなと思って検索したのだった。,エスペラ,proten2199,http://pbs.twimg.com/profile_images/992023968306483205/upCEBT3Z_normal.jpg,0,0
2018-11-02_11:43:11,1057557860505260032,Wed Oct 31 09:00:17 +0000 2018,ワインツーリズムやまなし2018・秋 https://t.co/8bJx9dLmAM,べーグル奏風(かなた),kanata_bagel,http://pbs.twimg.com/profile_images/3513671489/371d2ddc097aa72e51936d0bf04da49f_normal.jpeg,0,0
2018-11-02_11:43:12,929233280519479298,Sat Nov 11 06:24:13 +0000 2017,楽しいデス,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929231717004591104,Sat Nov 11 06:18:00 +0000 2017,今年３回目毎年楽しい〜,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929231333003370497,Sat Nov 11 06:16:28 +0000 2017,毎回たのしみにしています。今年も楽しんでします！！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929222341774602240,Sat Nov 11 05:40:45 +0000 2017,今回で3回目ワイナリーの方とおしゃべりできて温かみを感じながら回れるワインツーリズムは最高です！温かみを感じながら最高の日です！感謝です！！ありがとう,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929220092117770248,Sat Nov 11 05:31:48 +0000 2017,頑張ってのんでます。どれも美味しくてどれを買うか迷ってる。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929217699460218880,Sat Nov 11 05:22:18 +0000 2017,お芋美味しい🤗🤗🤗13種類の飲み比べがスゴイ企画‼️,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929214854556028929,Sat Nov 11 05:10:59 +0000 2017,レベル差歴然！ワインツーリズム！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929209306808856576,Sat Nov 11 04:48:57 +0000 2017,ねこまんま味のお団子もっと食べたいねん…。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929207671189684224,Sat Nov 11 04:42:27 +0000 2017,青空の下でまったり外ワイン中です〜帰りたくなーい,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929207361020895232,Sat Nov 11 04:41:13 +0000 2017,今年で3回目‼️年々充実して楽しいです。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929206943301775360,Sat Nov 11 04:39:33 +0000 2017,13種類飲み比べ中デス！快晴で絶好のワイン日和！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929204620068450306,Sat Nov 11 04:30:19 +0000 2017,ずっと食べまくり呑みまくりでお腹が一杯ー,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929204312890269697,Sat Nov 11 04:29:06 +0000 2017,山梨発酵工業では、お隣の食堂から出前が可能。帰り際に「もつ」がなんと「馬モツ」であるのに遅まきながら気づいて後悔。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929202879352602624,Sat Nov 11 04:23:24 +0000 2017,山梨市は初めてですが、今までのツーリズムの中でも、アットホームで最高です！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929201248619741184,Sat Nov 11 04:16:56 +0000 2017,5回目の参加です。いつもいい天気で、この青空の下で、ワインが飲めて幸せ！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929199245873180674,Sat Nov 11 04:08:58 +0000 2017,ビスコッティちょっと値段高い、、、諦めよう・・・,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929198447458054145,Sat Nov 11 04:05:48 +0000 2017,いろんなワインが楽しめる❗️,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929195307010703360,Sat Nov 11 03:53:19 +0000 2017,東晨さん最近毎回の来てますが、今回も皆さまのおもてなしの素晴らしさに大変満足しています。ありがとうございました。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929185094849277952,Sat Nov 11 03:12:44 +0000 2017,晴れてよかった！ やっぱりワインツーリズムは最高だよね！！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929184132294262784,Sat Nov 11 03:08:55 +0000 2017,2年ぶりの参加です。やっぱり楽しい♡,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929183908133969921,Sat Nov 11 03:08:01 +0000 2017,お天気良くてワイン日和♡最高です＾＾,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929180029044506624,Sat Nov 11 02:52:36 +0000 2017,天気も良くてワイナリー巡り日和です。ワインも美味しいし、いい気分です。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929177836597870592,Sat Nov 11 02:43:54 +0000 2017,お天気も良く、美味しいワインとおつまみ、最高です！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929177366819102720,Sat Nov 11 02:42:02 +0000 2017,3回目の参加です。今まで行ったことのないエリアも美味しいワインたくさん。たのしいです。,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929176375235186689,Sat Nov 11 02:38:05 +0000 2017,いつも楽しく回らせて頂いています。ヤッホー,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929175666217574400,Sat Nov 11 02:35:16 +0000 2017,初回からコンプリート参加です。ワインに囲まれた山梨に移住したい ！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929172440697024512,Sat Nov 11 02:22:27 +0000 2017,散策がてら楽しいです。晴れてよかったー！！,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929171839275773953,Sat Nov 11 02:20:04 +0000 2017,醸しのワインウイスキー好きにあいました、美味しかったです,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929171042219773952,Sat Nov 11 02:16:54 +0000 2017,東晨洋酒で全種類の試飲にチャレンジ中であります！酸味がとても印象的ですね,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929169460883161088,Sat Nov 11 02:10:37 +0000 2017,秋晴れの中昼から酔っ払いウレシー,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929168902369640448,Sat Nov 11 02:08:24 +0000 2017,おでんおいしい晴れてよかったー,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929158438155837440,Sat Nov 11 01:26:49 +0000 2017,山菜おこわとワインが合う〜,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,1
2018-11-02_11:43:12,929158173197402112,Sat Nov 11 01:25:46 +0000 2017,お天気にも恵まれて最高な1日です！のむぞー,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
